DIM_ID,DIM_NM,DIM_DSC,RESV_KEY_ALLOW,IS_LOCKED,SEQ_NM,SEQ_SCHEMA,DB_CONNECTION
27,DIM1,Dim1 for DC,N,N,DCDIM_ID_SEQ,,
28,DIM2,Dim2 for DC,N,N,DCDIM_ID_SEQ,,
29,DIM3,Dim3 for DC,N,N,DCDIM_ID_SEQ,,
30,DIM4,Dim4 for DC,N,N,DCDIM_ID_SEQ,,
31,DIM5,Dim5 for DC,N,N,DCDIM_ID_SEQ,,
32,DIM6,Dim6 for DC,N,N,DCDIM_ID_SEQ,,
33,DIM7,Dim7 for DC,N,N,DCDIM_ID_SEQ,,
34,DIM8,Dim8 for DC,N,N,DCDIM_ID_SEQ,,
35,DIM9,Dim9 for DC,N,N,DCDIM_ID_SEQ,,
36,DIM10,Dim10 for DC,N,N,DCDIM_ID_SEQ,,
37,DIM11,Dim11 for DC,N,N,DCDIM_ID_SEQ,,
38,DIM12,Dim12 for DC,N,N,DCDIM_ID_SEQ,,
2,PRODUCT,PRODUCT,N,N,PRDC_CKAADV_SEQ,,
3,PERIOD,PERIOD,N,N,PRD_CKAADV_SEQ,,
6,STORE,STORE,N,Y,POD_CKAADV_SEQ,,
8,BASKET,BASKET,Y,N,BAS_ID_SEQ,,
9,HOUSEHOLD,HOUSEHOLD,N,N,HOU_ID_SEQ,,
10,PERSON,PERSON,N,N,PSN_ID_SEQ,,
11,IDENTIFYING_CARD,IDENTIFYING CARD,Y,N,IDC_ID_SEQ,,
13,MARKET,MARKET,N,N,MKT_ID_SEQ,,
17,STATIC_TYPE,Static Type,N,N,STAT_TYP_ID_SEQ,,
12,LANE,LANE,N,N,LN_ID_SEQ,,
14,OUTLET,OUTLET,N,N,OTLT_ID_SEQ,,
15,PANELIST_TYPE,Panelist Type,N,N,PNL_TYP_ID_SEQ,,
16,TRIP_TYPE,Trip Type,N,N,TRP_TYP_ID_SEQ,,
39,PROMOTION,PROMOTION,N,N,PRMO_ID_SEQ,,
40,PROMODETAIL,PROMODETAIL,N,N,PRMODTL_ID_SEQ,,
