Name,?,SUB_ID,Description,Script Location,?,?,
HS_XML,HHH,HSC,HomeScan XML Adapter,${CUST_ADPTR_BINDIR}/hs_adapter.ksh,${BATCH_ID} ${CUST_ADPTRDIR}/${BATCH_ID} ${INCDIR},${INCDIR},
HS_XML,HBS,HSC,HomeScan XML Adapter,${TRIP_CUST_ADPTR_BINDIR}/tm_prepare_sff.sh,${BATCH_ID},${INCDIR},
HS_XML,HBSS,HSC,HomeScan XML Adapter,${TRIP_CUST_ADPTR_BINDIR}/tm_prepare_sff.sh,${BATCH_ID},${INCDIR},
HS_XML,HBSM,HSC,HomeScan XML Adapter,${TRIP_CUST_ADPTR_BINDIR}/tm_prepare_sff.sh,${BATCH_ID},${INCDIR},
HS_XML,HBST,HSC,HomeScan XML Adapter,${TRIP_CUST_ADPTR_BINDIR}/tm_prepare_sff.sh,${BATCH_ID},${INCDIR},
HS_XML,HBSU,HSC,Store schematic Adapter,${TRIP_CUST_ADPTR_BINDIR}/tm_prepare_sff.sh,${BATCH_ID},${INCDIR},
HS_XML,HBSMA,HSC,HomeScan XML Adapter,${TRIP_CUST_ADPTR_BINDIR}/tm_prepare_sff.sh,${BATCH_ID},${INCDIR},
MRKT_ADAPT,MRKT,NLS,MRKT Adapter for ODMP,${CUST_ADPTR_BINDIR}/odmp_cust_adapt.ksh,${BATCH_ID},,
MRKT_INP,MRKTCA,HSC,MARKET INPUTS CUSTOM ADAPTER,${CUST_ADPTR_BINDIR}/script_Mrkt_Mapping.sh,${BATCH_ID},${INCDIR}/nonstd,
NON_ARCH,NON,SFW,Non Archive Adapter,,,${ARCHDIR}/nonstd,cp ${CUST_ADPTRDIR}/${BATCH_ID}/** ${ARCHDIR}/nonstd
NON_ARCH,NON,HSC,Non Archive Adapter,,,${ARCHDIR}/nonstd,cp ${CUST_ADPTRDIR}/${BATCH_ID}/** ${ARCHDIR}/nonstd
NON_ARCH,NON,LCD,Non Archive Adapter,,,${ARCHDIR}/nonstd,cp ${CUST_ADPTRDIR}/${BATCH_ID}/** ${ARCHDIR}/nonstd
OOS_REG,OOS,SFW,Out of stock Adapter,${TLOG_BIN}/tlog_archive_cust_adapt.ksh,${BATCH_ID} ${SRC_ID} Y,,
OOS_REG,OOS,LCD,Out of stock Adapter,${TLOG_BIN}/tlog_archive_cust_adapt.ksh,${BATCH_ID} ${SRC_ID} Y,,
PNLDMG,PNLDMGCA,HSC,PANELIST DEMOGRAPHIC CUSTOM ADAPTER,${CUST_ADPTR_BINDIR}/pnl_ca01_fxd_to_dlmtd.ksh,${BATCH_ID},${INCDIR}/nonstd,
