SUB,Data Type?,Group?,# Files?,Platform?
CRF,PROCHR,PRODUCT_CHAR,2,CARREFOUR
CRF,PROCHRSTD,PRODUCT_STD,1,CARREFOUR
NLS,MRKT,MRKT ODMP REGULAR FILES,5,LOYALTY
NLS,PROCHR,PRODUCT_CHAR,2,LOYALTY
NLS,PRODHSTRY,PROD_HISTORY,1,LOYALTY
NLS,PROCHRSTD,PRODUCT_STD,1,LOYALTY
SFW,AGP,AGP REGULAR FILES,1,LOYALTY
SFW,AGP_RSTMT,AGP RESTATEMENT FILES,1,LOYALTY
SFW,HHA,HOUSEHOLD ADHOC FILES,1,LOYALTY
SFW,HHA_RSTMT,HOUSEHOLD ADHOC RESTATE FILES,1,LOYALTY
SFW,HHS,HOUSEHOLD SEGMENT FILES,1,LOYALTY
SFW,HHS_RSTMT,HOUSEHOLD SEGMENT RESTAT FILES,1,LOYALTY
SFW,HOU,HOUSEHOLD FILES,1,LOYALTY
SFW,IDC,IDENTIFYING CARD FILES,1,LOYALTY
SFW,NON,NONSTD_ARCH TEST,1,LOYALTY
SFW,PCR,PROMOTION CALENDAR,1,LOYALTY
SFW,PRO,PRODUCT FILES,1,LOYALTY
SFW,PRS,PRODUCT ADHOC SEGMENT FILES,1,LOYALTY
SFW,STO,STORE FILES,1,LOYALTY
SFW,STS,STORE ADHOC SEGMENT FILES,1,LOYALTY
SFW,TLOG,TLOG FILES,4,LOYALTY
SFW,TLOG_RSTMT,TLOG RESTATEMENT FILES,4,LOYALTY
SFW,TPD,TIME PERIOD FILES,1,LOYALTY
SFW,RGP,RGP REGULAR FILES,1,LOYALTY
SFW,RGP_RSTMT,RGP RESTATEMENT FILES,1,LOYALTY
SFW,PRMODTL,EXPLODED PROMOTION DETAIL FILE,1,LOYALTY
SFW,PRMTN,PROMOTION PRIMARY FILES,2,LOYALTY
SFW,PRMO,PROMOTION FILES,1,LOYALTY
SFW,PRDCCGRP,PRODUCT CUSTOM GROUP,1,LOYALTY
SFW,PODCGRP,STORE CUSTOM GROUP,1,LOYALTY
HSC,HHH,HOMESCAN FILES,3,LOYALTY
HSC,HHS,HOUSEHOLD SEGMENT FILES,1,LOYALTY
HSC,HHS_RSTMT,HOUSEHOLD SEGMENT RESTAT FILES,1,LOYALTY
HSC,HBS,HOMESCAN PRECUSTOM KRAFT,3,LOYALTY
HSC,HBSM,HOMESCAN PRECUSTOM MONDELEZ,3,LOYALTY
HSC,BKSK,HOMESCAN BASKET SEGMENT,1,LOYALTY
HSC,BKM,BASKET SEGMENT MONDELEZ,1,LOYALTY
SFW,LNE,LANE,1,LOYALTY
SFW,PRM,PROMOTION FILES,3,LOYALTY
SFW,SCH,SCHEMATIC FILES,1,LOYALTY
SFW,OOS,OUT OF STOCK FILES,1,LOYALTY
HSC,STTYP,Panel Static Type Files,1,PANEL
HSC,PNLTYP,Panel Panelist Type Files,1,PANEL
HSC,TRPTYP,Panel Trip Type Files,1,PANEL
HSC,MRKTCA,Panel Market Input Files,1,PANEL
HSC,MRKT,Standard Market Input Files,3,PANEL
HSC,RTLOTLTCA,Retail Outlet Files,2,PANEL
HSC,RTLOTLT,Standard Retail Outlet Files,2,PANEL
HSC,PNLTRIPCA,Panel Trip Files,2,PANEL
HSC,PNLTRIP,Standard Panel Trip Files,2,PANEL
HSC,PNLDMGCA,Panelist Demographic Files,1,PANEL
HSC,DMG,Standard Panelist Demographic,1,PANEL
HSC,PRJCCA,Panel Projection Files,1,PANEL
HSC,PRJCCAK,Panel Projection Files,1,PANEL
HSC,PRJCCAM,Panel Projection Files,1,PANEL
HSC,PJC,Standard Panel Projection,1,PANEL
HSC,PRDRLSCA,Period Release,1,PANEL
HSC,CEN,Census Files,1,PANEL
HSC,PRDRLS,Standard Period Release,1,PANEL
HSC,PNLMTCHCA,Panel Match Files,2,PANEL
HSC,PRJCCK,Panel Projection Kraft,1,PANEL
HSC,HBSS,HOMESCAN PRECUSTOM SAFEWAY,3,LOYALTY
HSC,BKSS,HOMESCAN BASKET KRAFT,1,LOYALTY
HSC,HBST,HOMESCAN PRECUSTOM TGT,3,LOYALTY
HSC,BKST,HOMESCAN BASKET TARGET,1,LOYALTY
HSC,HBSU,HOMESCAN PRECUSTOM SUPERVALUE,3,LOYALTY
HSC,BKSU,HOMESCAN BASKET SUPERVALUE,1,LOYALTY
HSC,HBSMA,HOMESCAN PRECUSTOM MAS,3,LOYALTY
HSC,BKSM,HOMESCAN BASKET MARS,1,LOYALTY
HSC,PRCHRST,Purchase Rstmnt,1,PANEL
HSC,PRCHRSTCA,Purchase Rstmnt CA,1,PANEL
HSC,TRIPRST,Trip Rstmnt,1,PANEL
HSC,TRIPRSTCA,Trip Rstmnt CA,1,PANEL
CRF,AGP,AGP REGULAR FILES,1,CARREFOUR
CRF,AGP_RSTMT,AGP RESTATEMENT FILES,1,CARREFOUR
CRF,HHA,HOUSEHOLD ADHOC FILES,1,CARREFOUR
CRF,HHA_RSTMT,HOUSEHOLD ADHOC RESTATE FILES,1,CARREFOUR
CRF,HHS,HOUSEHOLD SEGMENT FILES,1,CARREFOUR
CRF,HHS_RSTMT,HOUSEHOLD SEGMENT RESTAT FILES,1,CARREFOUR
CRF,HOU,HOUSEHOLD FILES,1,CARREFOUR
CRF,IDC,IDENTIFYING CARD FILES,1,CARREFOUR
CRF,NON,NONSTD_ARCH TEST,1,CARREFOUR
CRF,PCR,PROMOTION CALENDAR,1,CARREFOUR
CRF,PRO,PRODUCT FILES,1,CARREFOUR
CRF,PRS,PRODUCT ADHOC SEGMENT FILES,1,CARREFOUR
CRF,STO,STORE FILES,1,CARREFOUR
CRF,STS,STORE ADHOC SEGMENT FILES,1,CARREFOUR
CRF,TLOG,TLOG FILES,2,CARREFOUR
CRF,TLOG_RSTMT,TLOG RESTATEMENT FILES,2,CARREFOUR
CRF,TPD,TIME PERIOD FILES,1,CARREFOUR
CRF,RGP,RGP REGULAR FILES,1,CARREFOUR
CRF,RGP_RSTMT,RGP RESTATEMENT FILES,1,CARREFOUR
CRF,LNE,LANE,1,CARREFOUR
CRF,PRM,PROMOTION FILES,3,CARREFOUR
CRF,SCH,SCHEMATIC FILES,1,CARREFOUR
CRF,OOS,OUT OF STOCK FILES,1,CARREFOUR
LCD,AGP,AGP REGULAR FILES,1,LOYALTY
LCD,AGP_RSTMT,AGP RESTATEMENT FILES,1,LOYALTY
LCD,HHA,HOUSEHOLD ADHOC FILES,1,LOYALTY
LCD,HHA_RSTMT,HOUSEHOLD ADHOC RESTATE FILES,1,LOYALTY
LCD,HHS,HOUSEHOLD SEGMENT FILES,1,LOYALTY
LCD,HHS_RSTMT,HOUSEHOLD SEGMENT RESTAT FILES,1,LOYALTY
LCD,HOU,HOUSEHOLD FILES,1,LOYALTY
LCD,IDC,IDENTIFYING CARD FILES,1,LOYALTY
LCD,NON,NONSTD_ARCH TEST,1,LOYALTY
LCD,PCR,PROMOTION CALENDAR,1,LOYALTY
LCD,PRO,PRODUCT FILES,1,LOYALTY
LCD,PRS,PRODUCT ADHOC SEGMENT FILES,1,LOYALTY
LCD,STO,STORE FILES,1,LOYALTY
LCD,STS,STORE ADHOC SEGMENT FILES,1,LOYALTY
LCD,TLOG,TLOG FILES,4,LOYALTY
LCD,TLOG_RSTMT,TLOG RESTATEMENT FILES,4,LOYALTY
LCD,TPD,TIME PERIOD FILES,1,LOYALTY
LCD,RGP,RGP REGULAR FILES,1,LOYALTY
LCD,RGP_RSTMT,RGP RESTATEMENT FILES,1,LOYALTY
LCD,LNE,LANE,1,LOYALTY
LCD,PRM,PROMOTION FILES,3,LOYALTY
LCD,SCH,SCHEMATIC FILES,1,LOYALTY
LCD,OOS,OUT OF STOCK FILES,1,LOYALTY
LCD,PRMODTL,EXPLODED PROMOTION DETAIL FILE,1,LOYALTY
LCD,PRMTN,PROMOTION PRIMARY FILES,2,LOYALTY
