Exception Name,Subscriber,?,?,Datafile,Process Location,?
CHECK_CUST_ADPTR,CRF,PROUPCS,PROCHR,carr_pro_ean_sirval.CSV,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,CRF,PROCHARS,PROCHR,carr_pro_chars_sirval.CSV,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,NLS,PRODHSTRY,PRODHSTRY,PROD_PRO_HISTORY_EXTRACT.TXT,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,NLS,PROUPCS,PROCHR,pro_upcs.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,NLS,PROCHARS,PROCHR,pro_chars.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,NLS,MRKT,MRKT,%_mrkt_2%.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,NLS,MRKT_CHRS,MRKT,%_mrkt_chrs_%.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,NLS,MRKT_POD,MRKT,%_mrkt_pod_rltd_%.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,NLS,POD,MRKT,%_pod_2%.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,NLS,POD_CHRS,MRKT,%_pod_chrs_%.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,SFW,NON,NON,NON_ARCH_%.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,SFW,TPD,TPD,TPD_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,N
CHECK_CUST_ADPTR,SFW,PCR,PCR,PCR_NONSTD_SFW_%%%%%%%%.dat,Check Custom Adapter Needed,N
CHECK_CUST_ADPTR,HSC,HHB,HHH,%.%_%.bgrp,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,HHF,HHH,%.%_%.fam,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,HHX,HHH,%_%.xml,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,SFW,PRM,PRM,PRM_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,SFW,PST,PRM,PST_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,SFW,PRC,PRM,PRC_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,SFW,SCH,SCH,SCH_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,SFW,OOS,OOS,OOS_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,MRKTCA,MRKTCA,market_input.csv,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,RTLOTLDMAP,RTLOTLTCA,Retailoutletdimensionmapping.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,RTLOTLSTR,RTLOTLTCA,Outlet_Store_Type.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,PNLTRIPCA,PNLTRIPCA,trip_%.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,PNLPRCHCA,PNLTRIPCA,purch_%.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,PNLDMGCA,PNLDMGCA,mstr_%.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,PRJCCA,PRJCCA,fam_%.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,PRJCCAK,PRJCCAK,K%%_%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,PRJCCAM,PRJCCAM,M%%_%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,PRDRLSCA,PRDRLSCA,period_release.csv,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,PRDRLS,PRDRLS,pnlPRDRLSCAstd_%.txt,Check Custom Adapter Needed,N
CHECK_CUST_ADPTR,HSC,PNLMTCHXML,PNLMTCHCA,%_PNLMTCH_%.xml,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,PNLMTCHDAT,PNLMTCHCA,%_PNLMTCH_%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TMVK,HBS,TRIP_MISSION_VALUE_KFT_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TSVK,HBS,TRIP_SIZE_VALUE_KFT_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TMK,HBS,TRIP_MISSION_KFT_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TMVM,HBSM,TRIP_MISSION_VALUE_SNG_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TSVM,HBSM,TRIP_SIZE_VALUE_SNG_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TMM,HBSM,TRIP_MISSION_SNG_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TMVS,HBSS,TRIP_MISSION_VALUE_SFW_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TSVS,HBSS,TRIP_SIZE_VALUE_SFW_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TMS,HBSS,TRIP_MISSION_SFW_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TMVT,HBST,TRIP_MISSION_VALUE_TGT_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TSVT,HBST,TRIP_SIZE_VALUE_TGT_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TMT,HBST,TRIP_MISSION_TGT_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TMVU,HBSU,TRIP_MISSION_VALUE_SPV_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TSVU,HBSU,TRIP_SIZE_VALUE_SPV_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TMU,HBSU,TRIP_MISSION_SPV_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TMVMA,HBSMA,TRIP_MISSION_VALUE_MAS_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TSVMA,HBSMA,TRIP_SIZE_VALUE_MAS_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TMMA,HBSMA,TRIP_MISSION_MAS_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,PRCHRSTCA,PRCHRSTCA,restate_purch_%%%%_%%%%.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,HSC,TRIPRSTCA,TRIPRSTCA,trip%refresh.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,NON,NON,NON_ARCH_%.txt,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,TPD,TPD,TPD_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,N
CHECK_CUST_ADPTR,LCD,PCR,PCR,PCR_NONSTD_LCD_%%%%%%%%.dat,Check Custom Adapter Needed,N
CHECK_CUST_ADPTR,LCD,PRM,PRM,PRM_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,PST,PRM,PST_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,PRC,PRM,PRC_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,SCH,SCH,SCH_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,OOS,OOS,OOS_%%%_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,PRMODTL,PRMODTL,PMOD_%%%_%%%%%%%%%%%%%%.dat.gz,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,PRMTN,PRMTN,PMO_%%%_%%%%%%%%%%%%%%.dat.gz,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,LCD,PRMDTL,PRMTN,PMD_%%%_%%%%%%%%%%%%%%.dat.gz,Check Custom Adapter Needed,Y
